Time [s],ADC,FUENTE CORRIENTE
0.000067442,-0.012,-0.011
0.020067442,-0.012,-0.011
0.040067442,-0.012,-0.011
0.060067442,-0.017,-0.011
0.080067442,-0.017,-0.011
0.100067442,-0.017,-0.017
0.120067442,-0.012,-0.011
0.140067442,-0.017,-0.011
0.160067442,-0.017,-0.017
0.180067442,-0.012,-0.011
0.200067442,-0.012,-0.011
0.220067442,-0.012,-0.017
0.240067442,-0.012,-0.011
0.260067442,-0.012,-0.011
0.280067442,-0.017,-0.011
0.300067442,-0.012,-0.017
0.320067442,-0.017,-0.011
0.340067442,-0.012,-0.017
0.360067442,-0.012,-0.011
0.380067442,-0.012,-0.011
0.400067442,-0.012,-0.011
0.420067442,-0.012,-0.011
0.440067442,-0.012,-0.017
0.460067442,-0.012,-0.011
0.480067442,-0.012,-0.017
0.500067442,-0.012,-0.011
0.520067442,-0.017,-0.017
0.540067442,-0.012,-0.011
0.560067442,-0.012,-0.017
0.580067442,-0.012,-0.011
0.600067442,-0.012,-0.011
0.620067442,-0.012,-0.011
0.640067442,-0.017,-0.011
0.660067442,-0.012,-0.011
0.680067442,-0.012,-0.011
0.700067442,-0.017,-0.011
0.720067442,-0.012,-0.017
0.740067442,-0.012,-0.011
0.760067442,-0.012,-0.017
0.780067442,-0.012,-0.017
0.800067442,-0.012,-0.017
0.820067442,-0.017,-0.017
0.840067442,-0.017,-0.011
0.860067442,-0.012,-0.017
0.880067442,-0.012,-0.011
0.900067442,-0.012,-0.017
0.920067442,-0.012,-0.011
0.940067442,-0.012,-0.011
0.960067442,-0.017,-0.017
0.980067442,-0.017,-0.011
1.000067442,-0.012,-0.011
1.020067442,-0.012,-0.011
1.040067442,-0.012,-0.011
1.060067442,-0.017,-0.017
1.080067442,-0.012,-0.017
1.100067442,-0.012,-0.011
1.120067442,-0.012,-0.017
1.140067442,-0.012,-0.017
1.160067442,-0.012,-0.017
1.180067442,-0.012,-0.011
1.200067442,-0.017,-0.017
1.220067442,-0.012,-0.017
1.240067442,-0.012,-0.011
1.260067442,-0.012,-0.011
1.280067442,-0.012,-0.011
1.300067442,-0.012,-0.017
1.320067442,-0.012,-0.011
1.340067442,-0.012,-0.017
